A Light in the Attic,£51.77,3/5
Tipping the Velvet,£53.74,1/5
Soumission,£50.10,1/5
Sharp Objects,£47.82,4/5
Sapiens: A Brief History of Humankind,£54.23,5/5
The Requiem Red,£22.65,1/5
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4/5
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull,£17.93,3/5
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4/5
The Black Maria,£52.15,1/5
Starving Hearts (Triangular Trade Trilogy, #1),£13.99,2/5
Shakespeare's Sonnets,£20.66,4/5
Set Me Free,£17.46,5/5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5/5
Rip it Up and Start Again,£35.02,5/5
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991,£57.25,3/5
Olio,£23.88,1/5
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1/5
Libertarianism for Beginners,£51.33,2/5
It's Only the Himalayas,£45.17,2/5
